Year,Teacher,Period,Table,Beansprout,min0,min5,min10,min15,min20
2017,Kusao,2,a,young,,120,210,330,405
2017,Kusao,2,b,young,,75,147,182,255
2017,Kusao,2,c,young,,86,144,208,248
2017,Kusao,2,d,young,,,,,
2017,Kusao,2,e,young,,,,,
2017,Kusao,3,a,young,,153,292,357,395
2017,Kusao,3,b,young,,47,95,127,169
2017,Kusao,3,c,young,,60,130,185,260
2017,Kusao,3,d,young,,58,109,159,203
2017,Kusao,3,e,young,,,,,
2017,Kusao,4,a,young,,92,221,337,413
2017,Kusao,4,b,young,,83,163,233,307
2017,Kusao,4,c,young,,81,144,210,263
2017,Kusao,4,d,young,,104,222,354,421
2017,Kusao,4,e,young,,,,,
2017,Kusao,7,a,young,,73,138,194,251
2017,Kusao,7,b,young,,50,110,152,206
2017,Kusao,7,c,young,,118,194,206,365
2017,Kusao,7,d,young,,40,83,120,159
2017,Kusao,7,e,young,,,,,
2017,Kusao,8,a,young,,0,56,123,180
2017,Kusao,8,b,young,,60,130,200,260
2017,Kusao,8,c,young,,,,,
2017,Kusao,8,d,young,,39,81,113,164
2017,Kusao,8,e,young,,,,,
2017,Lee,1,a,young,,84,162,250,312
2017,Lee,1,b,young,,,149,208,285
2017,Lee,1,c,young,,95,160,220,330
2017,Lee,1,d,young,,92,181,274,361
2017,Lee,1,e,young,,,,,
2017,Lee,3,a,young,,58,134,201,275
2017,Lee,3,b,young,,62,115,170,212
2017,Lee,3,c,young,,93,184,266,344
2017,Lee,3,d,young,,75,139,207,265
2017,Lee,3,e,young,,,,,
2017,Lee,4,a,young,,,,,
2017,Lee,4,b,young,,,,,
2017,Lee,4,c,young,,91,180,256,343
2017,Lee,4,d,young,,58,139,203,257
2017,Lee,4,e,young,,,,,
2017,Lee,5,a,young,,71,125,179,241
2017,Lee,5,b,young,,61,106,151,180
2017,Lee,5,c,young,,,,,
2017,Lee,5,d,young,,50,85,126,168
2017,Lee,5,e,young,,,,,
2017,Lee,6,a,young,,66,134,203,255
2017,Lee,6,b,young,,17.5,32.5,48.5,62
2017,Lee,6,c,young,,8,13,13,13
2017,Lee,6,d,young,,38.5,85.5,130.5,173
2017,Lee,6,e,young,,,,,
2017,Lee,8,a,young,,,,,
2017,Lee,8,b,young,,,,,
2017,Lee,8,c,young,,,,,
2017,Lee,8,d,young,,,,,
2017,Lee,8,e,young,,,,,
2017,Chan,7,a,young,,45,85,130,175
2017,Chan,7,b,young,,72,137,201,249
2017,Chan,7,c,young,,54,86,125,164
2017,Chan,7,d,young,,73,147,215,285
2017,Chan,7,e,young,,,,,
2017,Ching,1,a,mature,,7,40,80,115
2017,Ching,1,b,mature,,30,80,110,
2017,Ching,1,c,mature,,20,48,72,
2017,Ching,1,d,mature,,50,75,99,119
2017,Ching,1,e,mature,,,,,
2017,Ching,2,a,mature,,23,49,73,99
2017,Ching,2,b,mature,,25,43,78,104
2017,Ching,2,c,mature,,23,45,65,90
2017,Ching,2,d,mature,,25,48,67,88
2017,Ching,2,e,mature,,,,,
2017,Ching,5,a,mature,,35,39,40,31
2017,Ching,5,b,mature,,10,25,47,72
2017,Ching,5,c,mature,,27,56,83,112
2017,Ching,5,d,mature,,3,6,6,6
2017,Ching,5,e,mature,,,,,
