"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Matt Adams","Nationals","1B","573.5","269","340.0","($594.1)","$18.8","($574.3)"
"Colin Moran","Pirates","3B","575.7","260","298.5","($637.4)","$60.3","($576.0)"
"Eric Thames","Brewers","1B/OF","542.9","258","351.4","($582.2)","$1.4","($579.9)"
"Eduardo Nunez","Red Sox","2B/3B","537.3","238","292.6","($643.5)","$59.8","($582.8)"
"Austin Dean","Marlins","OF","600.6","306","346.2","($587.6)","$1.4","($585.2)"
"Erik Kratz","Giants","C","999.0","72","76.1","($869.4)","$282.6","($585.7)"
"Tony Kemp","Astros","OF","598.5","293","345.7","($588.1)","$1.4","($585.7)"
"Meibrys Viloria","Royals","C","999.0","72","73.2","($872.4)","$282.6","($588.7)"
"Tim Beckham","Mariners","3B/SS","470.6","326","357.6","($575.7)","($15.0)","($589.8)"
"J.T. Riddle","Marlins","SS","599.6","349","356.3","($577.1)","($15.0)","($591.1)"
"Joey Rickard","Orioles","OF","600.5","308","337.9","($596.3)","$1.4","($593.9)"
"Denard Span","","OF","600.9","279","337.0","($597.2)","$1.4","($594.8)"
"Addison Russell","Cubs","SS","585.6","305","352.7","($580.9)","($15.0)","($594.9)"
"Jose Briceno","Angels","C","999.0","59","62.2","($883.8)","$282.6","($600.2)"
"Chad Pinder","Athletics","2B/OF","479.3","240","275.5","($661.4)","$59.8","($600.6)"
"Martin Prado","Marlins","3B","600.8","265","273.4","($663.6)","$60.3","($602.2)"
"Austin Slater","Giants","1B/OF","600.2","293","328.8","($605.8)","$1.4","($603.4)"
"Austin Hays","Orioles","OF","539.6","275","327.6","($607.0)","$1.4","($604.6)"
"Franklin Barreto","Athletics","2B","574.7","230","270.1","($666.9)","$59.8","($606.2)"
"Ian Kinsler","Padres","2B","455.0","229","269.2","($668.0)","$59.8","($607.2)"
"Jhonatan Solano","","C","999.0","54","49.8","($896.7)","$282.6","($613.1)"
"Stephen Vogt","Giants","C","600.5","44","48.6","($898.0)","$282.6","($614.4)"
"Kyle Tucker","Astros","OF","369.2","240","318.2","($616.9)","$1.4","($614.5)"
"Yangervis Solarte","Giants","2B/3B","582.1","230","259.9","($677.7)","$59.8","($616.9)"
"Brandon Drury","Blue Jays","1B/2B/3B/SS/DH","587.5","296","327.7","($606.9)","($15.0)","($620.9)"
"Peter O'Brien","Marlins","1B/OF","590.2","288","310.3","($625.1)","$1.4","($622.7)"
"Nate Lowe","","1B","578.1","235","292.3","($643.8)","$18.8","($624.0)"
"Austin Wynns","Orioles","C","600.6","35","35.8","($911.3)","$282.6","($627.7)"
"Curt Casali","Reds","C","600.3","33","35.7","($911.5)","$282.6","($627.8)"
"Devin Mesoraco","Mets","C","600.1","30","35.4","($911.8)","$282.6","($628.2)"
"Brett Nicholas","Rockies","C","600.7","30","33.5","($913.7)","$282.6","($630.1)"
"Andrew Knizner","","C","600.1","31","32.7","($914.6)","$282.6","($631.0)"
"Kyle Higashioka","Yankees","C","999.0","30","32.7","($914.6)","$282.6","($631.0)"
"Eric Haase","Indians","C/DH","999.0","30","32.5","($914.8)","$282.6","($631.2)"
"Raffy Lopez","Braves","C","999.0","32","32.2","($915.1)","$282.6","($631.5)"
"Garrett Stubbs","","C","999.0","31","31.6","($915.8)","$282.6","($632.1)"
"Jacob Stallings","Pirates","C","999.0","30","30.5","($916.9)","$282.6","($633.2)"
"Alex Verdugo","Dodgers","OF","513.2","256","300.0","($635.8)","$1.4","($633.4)"
"Caleb Joseph","Diamondbacks","C","600.9","29","28.7","($918.7)","$282.6","($635.1)"
"Beau Taylor","Athletics","C/DH","999.0","30","28.6","($918.9)","$282.6","($635.2)"
"Brock Holt","Red Sox","2B/SS","590.8","269","313.5","($621.8)","($15.0)","($635.8)"
"Jordan Luplow","Indians","OF","600.1","241","297.4","($638.5)","$1.4","($636.1)"
"Didi Gregorius","Yankees","SS","460.2","245","311.0","($624.3)","($15.0)","($638.3)"
"Wilmer Difo","Nationals","2B/3B","598.9","217","238.9","($699.6)","$59.8","($638.8)"
"Raimel Tapia","Rockies","OF/DH","577.3","235","291.1","($645.1)","$1.4","($642.7)"
"Daniel Descalso","Cubs","2B/3B","599.9","202","229.7","($709.1)","$59.8","($648.4)"
"Greg Bird","Yankees","1B","485.3","209","261.3","($676.2)","$18.8","($656.4)"
"Lonnie Chisenhall","Pirates","OF","593.5","238","277.8","($659.0)","$1.4","($656.6)"
"Lucas Duda","Royals","1B/DH","600.3","204","259.2","($678.4)","$18.8","($658.6)"
"Richie Martin Jr.","Orioles","SS","999.0","272","290.2","($646.0)","($15.0)","($660.0)"
"Drew Jackson","Orioles","OF","999.0","249","274.1","($662.8)","$1.4","($660.4)"
"Daniel Vogelbach","Mariners","1B","592.4","205","256.3","($681.4)","$18.8","($661.6)"
"Troy Tulowitzki","Yankees","SS","519.5","240","287.3","($649.1)","($15.0)","($663.1)"
"Willie Calhoun","Rangers","OF","562.6","226","271.3","($665.8)","$1.4","($663.4)"
"Jose Bautista","","3B/OF","600.9","175","213.1","($726.5)","$60.3","($665.1)"
"Jon Jay","White Sox","OF","596.9","256","256.1","($681.6)","$1.4","($679.2)"
"David Freese","Dodgers","1B/3B","596.3","175","199.5","($740.6)","$60.3","($679.3)"
"Roman Quinn","Phillies","OF","579.6","200","255.1","($682.6)","$1.4","($680.2)"
"Jake Marisnick","Astros","OF","600.5","213","249.4","($688.6)","$1.4","($686.2)"
"Adam Duvall","Braves","OF","595.1","211","249.1","($688.9)","$1.4","($686.5)"
"Alen Hanson","Blue Jays","2B/OF","594.2","165","191.8","($748.7)","$59.8","($687.9)"
"David Bote","Cubs","3B","597.7","161","191.0","($749.5)","$60.3","($688.2)"
"Hunter Pence","Rangers","OF","589.7","212","246.9","($691.2)","$1.4","($688.8)"
"Logan Forsythe","Rangers","2B","999.0","167","188.4","($752.2)","$59.8","($691.4)"
"Derek Dietrich","Reds","1B/OF","584.6","201","238.7","($699.7)","$1.4","($697.3)"
"Hernan Perez","Brewers","2B/3B/SS/OF","524.8","215","254.2","($683.6)","($15.0)","($697.6)"
"Jarrod Dyson","Diamondbacks","OF","595.4","190","237.1","($701.4)","$1.4","($699.0)"
"Mark Canha","Athletics","OF","596.8","196","234.9","($703.7)","$1.4","($701.3)"
"Nicky Delmonico","White Sox","OF","600.9","196","233.6","($705.0)","$1.4","($702.6)"
"Robbie Grossman","Athletics","OF/DH","594.4","204","233.1","($705.6)","$1.4","($703.2)"
"Jose Pirela","Padres","2B/OF","600.3","158","177.0","($764.1)","$59.8","($703.4)"
"Jake Cave","Twins","OF","587.6","202","229.2","($709.7)","$1.4","($707.3)"
"Howie Kendrick","Nationals","2B","600.6","144","172.5","($768.7)","$59.8","($708.0)"
"Aledmys Diaz","Astros","3B/SS","564.8","196","242.2","($696.1)","($15.0)","($710.1)"
"Taylor Ward","Angels","3B","596.0","148","168.8","($772.6)","$60.3","($711.3)"
"Juan Lagares","Mets","OF","600.2","207","224.4","($714.7)","$1.4","($712.3)"
"Tommy La Stella","Angels","3B","999.0","155","162.7","($779.1)","$60.3","($717.7)"
"Yairo Munoz","Cardinals","2B/3B/SS/OF","561.1","197","230.5","($708.3)","($15.0)","($722.3)"
"Jorge Bonifacio","Royals","OF","600.9","194","212.9","($726.6)","$1.4","($724.2)"
"Socrates Brito","Blue Jays","OF","999.0","190","212.1","($727.4)","$1.4","($725.1)"
"Dustin Fowler","Athletics","OF","591.3","166","207.5","($732.3)","$1.4","($729.9)"
"Greg Garcia","Padres","2B","999.0","143","150.2","($792.1)","$59.8","($731.3)"
"D.J. Stewart","Orioles","OF/DH","600.4","165","203.1","($736.9)","$1.4","($734.5)"
"Kyle Farmer","Reds","3B","999.0","136","142.1","($800.5)","$60.3","($739.2)"
"Miguel Rojas","Marlins","1B/3B/SS","589.4","205","211.9","($727.7)","($15.0)","($741.7)"
"Chris Young","","OF","999.0","167","195.5","($744.8)","$1.4","($742.4)"
"Nick Martini","Athletics","OF","598.3","184","194.6","($745.7)","$1.4","($743.4)"
"Pablo Sandoval","Giants","1B/3B","600.8","125","135.0","($807.9)","$60.3","($746.6)"
"Kevin Newman","Pirates","SS","599.7","185","201.9","($738.1)","($15.0)","($752.2)"
