rowid,date,opponent,result,Iolani_score,opp_score,stadium,pass_leader,pass_yds,rush_leader,rush_yds,receive_leader,receive_yds
910,1946-12-14,at Kapaa,L,19,20,,,,,,,
911,1946-11-16,Saint Louis,L,7,18,Honolulu Stadium,,,,,,
912,1946-11-01,Kamehameha,L,0,26,Honolulu Stadium,,,,,,
913,1946-10-25,Farrington,W,7,0,Honolulu Stadium,,,,,,
914,1946-10-18,McKinley,L,7,27,Honolulu Stadium,,,,,,
915,1946-10-12,Punahou,L,13,20,Honolulu Stadium,,,,,,
916,1946-10-05,Roosevelt,W,6,0,Honolulu Stadium,,,,,,
917,1946-09-27,Kaimuki,W,3,0,Honolulu Stadium,,,,,,
919,1945-12-16,Kamehameha,L,13,14,Hilo,,,,,,
920,1945-12-01,Farrington,W,20,12,Honolulu Stadium,,,,,,
921,1945-11-23,Kaimuki,L,6,21,Honolulu Stadium,,,,,,
922,1945-11-16,McKinley,W,32,0,Honolulu Stadium,,,,,,
923,1945-11-09,Roosevelt,L,0,13,Honolulu Stadium,,,,,,
924,1945-10-27,Saint Louis,L,6,25,Honolulu Stadium,,,,,,
925,1945-10-20,Farrington,L,7,13,Honolulu Stadium,,,,,,
926,1945-10-13,Kamehameha,W,14,0,Honolulu Stadium,,,,,,
927,1945-10-05,Punahou,L,7,12,Honolulu Stadium,,,,,,
