"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","Mon 7/23 1:45pm: Motor Vehicle Collision (72), 142X LILIHA ST, FHB LILIHA, Downtown #hitraffic",FALSE,0,NA,2018-07-23 23:56:31,FALSE,NA,"1021544621904605184",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"19","Mon 7/23 1:43pm: Motor Vehicle Collision (71), KALAKAUA AVE + ULUNIU AVE, HULA MOUND, Waikiki #hitraffic",FALSE,0,NA,2018-07-23 23:56:31,FALSE,NA,"1021544620314910721",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"20","Mon 7/23 1:39pm: Motor Vehicle Collision (70), 305X N NIMITZ HWY, ALAMO RENTAL CAR, Airport #hitraffic",FALSE,0,NA,2018-07-23 23:56:31,FALSE,NA,"1021544618813321217",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"21","Mon 7/23 1:37pm: Motor Vehicle Collision (69), 57002X KUILIMA DR, TURTLE BAY, Kahuku #hitraffic",FALSE,0,NA,2018-07-23 23:42:27,FALSE,NA,"1021541080817262592",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",1,FALSE,FALSE,NA,NA
"22","Mon 7/23 1:33pm: Motor Vehicle Collision (68), KANAINA AVE + KAPAHULU AVE, Kapahulu #hitraffic",FALSE,0,NA,2018-07-23 23:42:27,FALSE,NA,"1021541079223431168",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",1,FALSE,FALSE,NA,NA
"23","Mon 7/23 1:29pm: Motor Vehicle Collision (67), HANUA ST + KAOMI LOOP, Kapolei #hitraffic",FALSE,0,NA,2018-07-23 23:42:26,FALSE,NA,"1021541077600284672",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"24","Mon 7/23 1:19pm: Motor Vehicle Collision (66), 230X KAM HWY, GASPRO, Kalihi #hitraffic",FALSE,0,NA,2018-07-23 23:26:27,FALSE,NA,"1021537052997742594",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"25","Mon 7/23 1:18pm: Motor Vehicle Collision (65), ATKINSON DR + MAHUKONA ST, Ala Moana #hitraffic",FALSE,0,NA,2018-07-23 23:26:26,FALSE,NA,"1021537051374583808",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",1,FALSE,FALSE,NA,NA
"26","Mon 7/23 1:07pm: Motor Vehicle Collision (64), 56X FARRINGTON HWY, TEXACO KAPOLEI, Kapolei #hitraffic",FALSE,0,NA,2018-07-23 23:12:27,FALSE,NA,"1021533528415072257",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"27","Mon 7/23 1:01pm: Motor Vehicle Collision (63), 60X HALELA ST, Kailua #hitraffic",FALSE,0,NA,2018-07-23 23:12:26,FALSE,NA,"1021533526838005761",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"28","Mon 7/23 12:52pm: Motor Vehicle Collision (62), 34X LALA PL, Kailua #hitraffic",FALSE,0,NA,2018-07-23 22:56:34,FALSE,NA,"1021529533281783810",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"29","Mon 7/23 12:48pm: Motor Vehicle Collision (61), 230X KAMEHAMEHA AVE, AIRGAS-WEST INC., Manoa #hitraffic",FALSE,0,NA,2018-07-23 22:56:34,FALSE,NA,"1021529531729903616",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
