"PlayerName","Team","POS","ADP","IP","rPTS","PTS","aPOS","Dollars"
"Manny Banuelos","White Sox","SP","600.3","95","413.0","($463.4)","$108.1","($354.3)"
"Wes Parsons","Braves","SP","999.0","107","413.0","($463.4)","$108.1","($354.3)"
"Matt Swarmer","","SP","999.0","111","412.0","($464.3)","$108.1","($355.2)"
"Dane Dunning","","SP","600.6","101","412.0","($464.3)","$108.1","($355.2)"
"Hunter Wood","Rays","SP","999.0","92","412.0","($464.3)","$108.1","($355.2)"
"Cy Sneed","","SP","999.0","115","411.0","($465.2)","$108.1","($356.1)"
"Ivan Pineyro","","SP","999.0","116","411.0","($465.2)","$108.1","($356.1)"
"Corey Knebel","Brewers","RP","253.0","62","411.0","($465.2)","$108.1","($356.1)"
"Ty Blach","Giants","SP","999.0","129","410.0","($466.1)","$108.1","($357.0)"
"Corbin Martin","","SP","999.0","109","410.0","($466.1)","$108.1","($357.0)"
"Bubba Derby","","SP","999.0","110","410.0","($466.1)","$108.1","($357.0)"
"Daniel Gossett","Athletics","SP","999.0","114","410.0","($466.1)","$108.1","($357.0)"
"Felipe Vazquez","Pirates","RP","83.7","72","410.0","($466.1)","$108.1","($357.0)"
"Nestor Cortes","Yankees","SP","999.0","110","409.0","($466.9)","$108.1","($357.8)"
"Brock Stewart","Dodgers","SP","999.0","103","409.0","($466.9)","$108.1","($357.8)"
"Deck McGuire","Angels","SP","999.0","110","409.0","($466.9)","$108.1","($357.8)"
"Hector Perez","","SP","999.0","100","408.0","($467.8)","$108.1","($358.7)"
"Josh Staumont","","SP","999.0","92","408.0","($467.8)","$108.1","($358.7)"
"Enderson Franco","","SP","999.0","119","408.0","($467.8)","$108.1","($358.7)"
"Eric Jokisch","","SP","999.0","124","408.0","($467.8)","$108.1","($358.7)"
"Duane Underwood Jr.","Cubs","SP","999.0","119","407.0","($468.7)","$108.1","($359.6)"
"Brent Honeywell","","SP","557.9","93","406.0","($469.5)","$108.1","($360.4)"
"Thomas Hatch","","SP","999.0","123","405.0","($470.4)","$108.1","($361.3)"
"Matt Tomshaw","","SP","999.0","132","405.0","($470.4)","$108.1","($361.3)"
"Corey Oswalt","Mets","SP","999.0","111","405.0","($470.4)","$108.1","($361.3)"
"Brandon Waddell","","SP","999.0","117","404.0","($471.3)","$108.1","($362.2)"
"Jon Duplantier","Diamondbacks","SP","999.0","91","404.0","($471.3)","$108.1","($362.2)"
"Ariel Miranda","","SP","999.0","105","404.0","($471.3)","$108.1","($362.2)"
"Chih-Wei Hu","Indians","SP","999.0","113","404.0","($471.3)","$108.1","($362.2)"
"Drew Hutchison","Yankees","SP","999.0","111","404.0","($471.3)","$108.1","($362.2)"
"Tyler Alexander","","SP","999.0","138","403.0","($472.2)","$108.1","($363.1)"
"Eduardo Vera","","SP","999.0","137","402.0","($473.0)","$108.1","($363.9)"
