"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Kevin Cron","","1B","600.5","64","77.0","($913.1)","$47.6","($864.5)"
"Brandon Dixon","Tigers","1B/OF","600.8","98","112.0","($876.3)","$7.6","($867.6)"
"Christian Arroyo","Rays","2B/3B/DH","600.8","35","38.0","($954.0)","$85.4","($867.6)"
"Austin Riley","","3B","591.6","58","68.0","($922.5)","$50.7","($870.8)"
"Andy Young","","2B","999.0","29","32.0","($960.3)","$85.4","($873.9)"
"Ramon Urias","","2B","999.0","28","32.0","($960.3)","$85.4","($873.9)"
"Ronald Torreyes","Twins","2B","999.0","35","30.0","($962.4)","$85.4","($876.0)"
"Ehire Adrianza","Twins","3B/SS","600.8","98","111.0","($877.3)","($2.9)","($879.2)"
"Victor Reyes","Tigers","OF/DH","600.5","91","97.0","($892.0)","$7.6","($883.4)"
"Mike Tauchman","Yankees","OF","600.7","77","97.0","($892.0)","$7.6","($883.4)"
"A.J. Reed","Astros","1B","600.0","42","53.0","($938.3)","$47.6","($889.7)"
"Tyler Saladino","Brewers","SS","999.0","86","99.0","($889.9)","($2.9)","($891.8)"
"Jose Osuna","Pirates","1B/3B/OF","999.0","43","48.0","($943.5)","$50.7","($891.8)"
"Derek Fisher","Astros","OF","600.8","70","88.0","($901.5)","$7.6","($892.9)"
"Anthony Alford","Blue Jays","OF/DH","599.5","77","76.0","($914.1)","$7.6","($905.5)"
"Matt Thaiss","","1B","599.8","35","38.0","($954.0)","$47.6","($905.5)"
"Josh Fuentes","Rockies","1B/3B","999.0","29","34.0","($958.2)","$50.7","($906.5)"
"Andrew Stevenson","Nationals","OF","999.0","71","71.0","($919.4)","$7.6","($910.7)"
"Drew Robinson","Cardinals","OF","999.0","65","70.0","($920.4)","$7.6","($911.8)"
"Hanley Ramirez","Indians","1B","579.5","28","31.0","($961.4)","$47.6","($912.8)"
"Zack Granite","Rangers","OF","601.0","63","68.0","($922.5)","$7.6","($913.9)"
"Richard Urena","Blue Jays","SS","999.0","84","76.0","($914.1)","($2.9)","($916.0)"
"Ildemaro Vargas","Diamondbacks","2B/3B/SS","999.0","70","76.0","($914.1)","($2.9)","($916.0)"
"Rowdy Tellez","Blue Jays","1B/DH","585.8","21","27.0","($965.6)","$47.6","($917.0)"
"Magneuris Sierra","Marlins","OF","600.8","71","63.0","($927.8)","$7.6","($919.1)"
"Mark Zagunis","Cubs","OF","999.0","49","57.0","($934.1)","$7.6","($925.4)"
"Clint Frazier","Yankees","OF/DH","579.3","42","56.0","($935.1)","$7.6","($926.5)"
"Jonathan Davis","Blue Jays","OF/DH","999.0","49","55.0","($936.2)","$7.6","($927.5)"
"Yonathan Daza","","OF","999.0","49","50.0","($941.4)","$7.6","($932.8)"
"Preston Tucker","White Sox","OF","999.0","42","50.0","($941.4)","$7.6","($932.8)"
"Jorge Bonifacio","Royals","OF","600.9","49","48.0","($943.5)","$7.6","($934.9)"
"LaMonte Wade Jr","","OF","999.0","42","47.0","($944.6)","$7.6","($935.9)"
"Oscar Mercado","","SS","597.4","49","57.0","($934.1)","($2.9)","($935.9)"
"Mauricio Dubon","","2B/SS","600.9","49","56.0","($935.1)","($2.9)","($937.0)"
"Tyrone Taylor","","OF","999.0","42","44.0","($947.7)","$7.6","($939.1)"
"Joey Curletta","","1B/OF","999.0","42","43.0","($948.8)","$7.6","($940.1)"
"Dwight Smith Jr.","Orioles","OF","999.0","35","43.0","($948.8)","$7.6","($940.1)"
"Adeiny Hechavarria","Mets","SS","999.0","50","50.0","($941.4)","($2.9)","($943.3)"
"Anthony Santander","Orioles","OF","999.0","35","38.0","($954.0)","$7.6","($945.4)"
"Dustin Peterson","Tigers","DH/OF","999.0","35","37.0","($955.1)","$7.6","($946.4)"
"Dylan Cozens","Phillies","OF","999.0","29","35.0","($957.2)","$7.6","($948.5)"
"Carlos Tocci","Rangers","OF","999.0","42","35.0","($957.2)","$7.6","($948.5)"
"Ronny Rodriguez","Tigers","SS","999.0","35","42.0","($949.8)","($2.9)","($951.7)"
"Adolis Garcia","Cardinals","OF","600.8","28","32.0","($960.3)","$7.6","($951.7)"
"Humberto Arteaga","","2B/SS","999.0","49","38.0","($954.0)","($2.9)","($955.9)"
"Cole Tucker","","SS","600.8","35","34.0","($958.2)","($2.9)","($960.1)"
"Eric Stamets","","SS","999.0","35","34.0","($958.2)","($2.9)","($960.1)"
"Kristopher Negron","Mariners","2B/3B/SS/OF/DH","999.0","28","33.0","($959.3)","($2.9)","($961.1)"
"Breyvic Valera","Giants","2B/3B/SS/OF","999.0","35","32.0","($960.3)","($2.9)","($962.2)"
